dias;S;I;R;N
315;-127.29973670738241;954.9118551626858;172.38788154469808;1000.0000000000015
316;237.38034651552158;700.2323759853927;62.38727749908726;1000.0000000000016
317;-261.2838656428769;1049.158577617778;212.12528802510047;1000.0000000000016
318;561.1007608541892;474.34930808444005;-35.45006893862754;1000.0000000000016
319;-237.3725121763233;1032.4871992772667;204.8853128990584;1000.0000000000017
320;497.8797286706995;518.622111301165;-16.50183997186278;1000.0000000000017
321;-276.7545795010485;1060.1989883503406;216.5555911507096;1000.0000000000017
322;603.4901961239581;444.9164467448421;-48.406642868798514;1000.0000000000017
323;-202.01794499049993;1007.8915692923986;194.12637569810295;1000.0000000000016
324;408.81860581460137;581.0452295408182;10.13616464458201;1000.0000000000016
325;-303.8076961537056;1079.3938211708937;224.41387498281372;1000.0000000000018
326;679.9767540037167;391.68503711437245;-71.66179111808745;1000.0000000000018
327;-119.03340638285215;949.9555082277934;169.0778981550604;1000.0000000000017
328;220.1959137866712;713.0667296842948;66.73735652903562;1000.0000000000017
329;-250.84722661444852;1042.6844974441556;208.16272917029454;1000.0000000000016
330;533.8163166387908;494.25079723197655;-28.06711387076581;1000.0000000000016
331;-257.701103583688;1047.5661365656429;210.13496701804672;1000.0000000000016
332;552.1757448259117;481.4959912455199;-33.67173607143002;1000.0000000000015
333;-245.4354779641452;1039.0393055826712;206.39617238147548;1000.0000000000015
334;519.6158478035042;504.3219037911673;-23.937751594669976;1000.0000000000015
335;-266.5451130094698;1053.914814692106;212.63029831736546;1000.0000000000016
336;576.2024171439155;464.8513014549003;-41.053718598814356;1000.0000000000014
337;-227.34291338850983;1026.4986980587537;200.84421532975753;1000.0000000000014
338;472.7587004300582;537.2086676256652;-9.967368055721977;1000.0000000000014
339;-289.1515142693594;1069.9189029351303;219.23261133423054;1000.0000000000015
340;638.9544985179547;421.14786858308355;-60.10236710103666;1000.0000000000016
341;-168.32847699927424;985.2838822726513;183.04459472662447;1000.0000000000016
342;329.22552894538865;637.6581955816544;33.11627547295862;1000.0000000000016
343;-300.57454123480807;1078.178632991467;222.3959082433427;1000.0000000000017
344;671.6446027069402;398.54861677344206;-70.19321948038046;1000.0000000000017
345;-131.40447940965691;959.6526866629631;171.7517927466956;1000.0000000000018
346;246.90350570541892;695.4232105304673;57.673283764115524;1000.0000000000016
347;-268.20378018125103;1055.8219469944827;212.38183318676994;1000.0000000000016
348;581.3225319654953;462.0091430434469;-43.33167500894041;1000.0000000000016
349;-224.40644251018045;1025.1674309582959;199.23901155188625;1000.0000000000017
